C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_21_955.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_21_955.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_21_955.jpg, 0, 0, 0, 7.775688E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_059.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_059.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_059.jpg, 0, 0, 0, 7.83236E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_160.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_160.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_160.jpg, 0, 0, 0, 8.054164E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_264.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_264.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_264.jpg, 0, 0, 0, 7.848645E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_368.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_368.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_368.jpg, 0, 0, 0, 7.927373E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_472.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_472.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_472.jpg, 0, 0, 0, 7.844097E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_575.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_575.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_575.jpg, 0, 0, 0, 7.790533E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_679.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_679.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_679.jpg, 0, 0, 0, 7.797145E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_781.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_781.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_781.jpg, 0, 0, 0, 7.82261E-05
C:\Users\salgueir\Desktop\driving_data2\IMG\center_2019_02_15_11_59_22_882.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\left_2019_02_15_11_59_22_882.jpg, C:\Users\salgueir\Desktop\driving_data2\IMG\right_2019_02_15_11_59_22_882.jpg, 0, 0, 0, 8.069958E-05
